frame,id,bb_left,bb_top,bb_width,bb_height
0,3,3544.0,605.0,28.0,54.0
0,2,3830.0,524.0,11.0,35.0
0,16,2671.0,512.0,20.0,37.0
0,11,4270.0,538.0,16.0,32.0
0,4,3720.0,504.0,12.0,27.0
0,10,3746.0,666.0,24.0,70.0
0,9,3818.0,583.0,12.0,48.0
0,7,3458.68,805.06,72.0,88.0
0,22,3060.4,592.13,35.88999999999987,62.07000000000005
0,8,3536.7,555.9,13.5,42.5
0,6,3560.59,506.55,10.599999999999907,29.19999999999999
0,5,3540.9,488.2,12.0,24.19999999999999
0,13,3525.47,502.58,15.600000000000364,34.920000000000016
0,20,3528.2,556.91,23.289999999999964,39.41000000000008
0,1,3526.79,523.26,17.199999999999818,32.60000000000002
0,19,3289.3,528.3,14.699999999999818,38.30000000000007
0,15,3312.42,512.4,16.5,37.10000000000002
0,12,3336.43,497.26,15.930000000000293,31.600000000000023
0,21,2832.61,588.17,30.33999999999969,58.82000000000005
0,18,2919.18,538.34,23.590000000000146,47.16999999999996
0,14,3124.85,506.32,14.930000000000293,37.54000000000002
0,17,3183.96,495.08,16.800000000000182,32.19999999999999
0,23,3537.0,549.5,6.400000000000091,7.0
1,3,3543.0,607.0,30.0,52.5
1,2,3830.0,524.0,11.0,35.0
1,16,2671.0,512.0,20.0,37.0
1,11,4270.0,538.0,16.0,32.0
1,4,3720.0,504.0,12.0,27.0
1,10,3746.0,666.0,24.0,70.0
1,9,3818.0,583.0,12.0,48.0
1,7,3457.05,803.91,72.0,88.0
1,22,3060.33,592.52,35.88999999999987,62.07000000000005
1,8,3536.42,555.93,13.569999999999707,42.3900000000001
1,6,3560.51,506.69,10.599999999999907,29.19999999999999
1,5,3540.51,488.34,12.109999999999673,24.140000000000043
1,13,3525.94,502.87,15.849999999999907,34.85000000000002
1,20,3529.66,556.55,23.289999999999964,39.42000000000007
1,1,3526.23,523.26,17.199999999999818,32.60000000000002
1,19,3288.42,528.72,14.699999999999818,38.29999999999996
1,15,3312.47,512.51,16.5,37.10000000000002
1,12,3336.58,497.29,15.920000000000073,31.59999999999997
1,21,2832.56,588.43,30.340000000000146,58.82000000000005
1,18,2919.31,538.44,23.590000000000146,47.17999999999995
1,14,3124.93,506.35,14.930000000000293,37.53999999999997
1,17,3184.08,495.08,16.800000000000182,32.19999999999999
1,23,3542.77,549.47,6.400000000000091,7.0
2,3,3542.0,609.0,32.0,51.0
2,2,3830.0,524.0,11.0,35.0
2,16,2671.0,512.0,20.0,37.0
2,11,4270.0,538.0,16.0,32.0
2,4,3720.0,504.0,12.0,27.0
2,10,3746.0,666.0,24.0,70.0
2,9,3818.0,583.0,12.0,48.0
2,7,3455.43,802.76,72.0,88.0
2,22,3060.26,592.9,35.88999999999987,62.07000000000005
2,8,3536.13,555.96,13.659999999999854,42.26999999999998
2,6,3560.44,506.83,10.599999999999907,29.19999999999999
2,5,3540.12,488.47,12.220000000000256,24.08999999999992
2,13,3526.4,503.16,16.110000000000127,34.79000000000002
2,20,3531.11,556.2,23.289999999999964,39.41999999999996
2,1,3525.67,523.26,17.199999999999818,32.60000000000002
2,19,3287.54,529.14,14.699999999999818,38.30000000000007
2,15,3312.52,512.62,16.5,37.10000000000002
2,12,3336.72,497.33,15.920000000000073,31.59999999999997
2,21,2832.52,588.69,30.340000000000146,58.819999999999936
2,18,2919.44,538.55,23.590000000000146,47.180000000000064
2,14,3125.01,506.38,14.929999999999836,37.53999999999997
2,17,3184.2,495.08,16.800000000000182,32.19999999999999
2,23,3548.55,549.43,6.399999999999636,7.0
3,3,3542.0,611.0,32.0,50.0
3,2,3827.0,523.0,11.0,36.0
3,16,2670.5,512.0,20.0,37.0
3,11,4270.0,538.0,16.0,32.0
3,4,3720.0,504.0,12.0,27.0
3,10,3745.0,666.0,20.0,70.0
3,9,3818.0,583.0,12.0,50.0
3,7,3450.35,801.8,72.0,88.0
3,22,3060.19,593.29,35.88999999999987,62.07000000000005
3,8,3535.85,555.99,13.730000000000018,42.15999999999997
3,6,3560.36,506.97,10.599999999999907,29.19999999999993
3,5,3539.73,488.61,12.329999999999927,24.029999999999973
3,13,3526.86,503.46,16.36999999999989,34.71999999999997
3,20,3532.57,555.85,23.289999999999964,39.40999999999997
3,1,3525.11,523.26,17.199999999999818,32.60000000000002
3,19,3286.65,529.56,14.699999999999818,38.30000000000007
3,15,3312.57,512.73,16.5,37.10000000000002
3,12,3336.86,497.36,15.929999999999836,31.600000000000023
3,21,2832.47,588.95,30.340000000000146,58.819999999999936
3,18,2919.57,538.66,23.58999999999969,47.180000000000064
3,14,3125.09,506.41,14.929999999999836,37.54000000000002
3,17,3184.33,495.08,16.800000000000182,32.19999999999999
3,23,3554.32,549.4,6.399999999999636,7.0
4,3,3542.0,613.0,32.0,49.0
4,2,3827.0,523.0,11.0,37.0
4,16,2670.0,512.0,20.0,37.0
4,11,4270.0,538.0,16.0,32.0
4,4,3717.0,502.0,12.0,30.0
4,10,3743.0,666.0,20.0,71.0
4,9,3818.0,583.0,12.0,50.0
4,7,3445.28,800.84,72.0,88.0
4,22,3060.12,593.68,35.88000000000011,62.07000000000005
4,8,3535.57,556.02,13.799999999999727,42.03999999999997
4,6,3560.28,507.1,10.599999999999907,29.19999999999993
4,5,3539.34,488.75,12.440000000000056,23.96000000000004
4,13,3527.33,503.75,16.61999999999989,34.64999999999998
4,20,3534.02,555.49,23.289999999999964,39.41999999999996
4,1,3524.55,523.26,17.199999999999818,32.60000000000002
4,19,3285.77,529.98,14.699999999999818,38.29999999999996
4,15,3312.62,512.85,16.5,37.10000000000002
4,12,3337.01,497.39,15.919999999999618,31.610000000000014
4,21,2832.42,589.21,30.340000000000146,58.819999999999936
4,18,2919.7,538.77,23.590000000000146,47.180000000000064
4,14,3125.17,506.44,14.929999999999836,37.54000000000002
4,17,3184.45,495.08,16.800000000000182,32.19999999999999
4,23,3560.1,549.36,6.400000000000091,7.0
5,3,3539.0,615.0,36.0,46.0
5,2,3827.0,523.0,11.0,36.0
5,16,2670.0,512.0,20.0,37.0
5,11,4270.0,537.0,16.0,32.0
5,4,3717.0,501.0,12.0,31.0
5,10,3742.0,664.0,20.0,73.0
5,9,3816.0,582.0,12.0,51.0
5,7,3440.21,799.88,72.0,88.0
5,22,3060.05,594.06,35.879999999999654,62.07000000000005
5,8,3535.28,556.04,13.879999999999654,41.940000000000055
5,6,3560.21,507.24,10.599999999999907,29.200000000000045
5,5,3538.95,488.88,12.550000000000182,23.909999999999968
5,13,3527.79,504.04,16.88000000000011,34.589999999999975
5,20,3535.48,555.14,23.289999999999964,39.40999999999997
5,1,3524.0,523.26,17.190000000000055,32.60000000000002
5,19,3284.89,530.4,14.700000000000273,38.30000000000007
5,15,3312.67,512.96,16.5,37.09999999999991
5,12,3337.15,497.43,15.920000000000073,31.59999999999997
5,21,2832.38,589.47,30.33999999999969,58.819999999999936
5,18,2919.84,538.88,23.58999999999969,47.17999999999995
5,14,3125.25,506.47,14.929999999999836,37.53999999999997
5,17,3184.57,495.08,16.799999999999727,32.19999999999999
5,23,3565.87,549.33,6.400000000000091,7.0
6,3,3539.0,616.0,36.0,45.0
6,2,3827.0,523.0,11.0,36.0
6,16,2670.0,512.0,20.0,37.0
6,11,4270.0,537.0,16.0,32.0
6,4,3720.0,504.0,12.0,27.0
6,10,3739.0,664.0,20.0,74.0
6,9,3813.0,583.0,16.0,49.0
6,7,3435.14,798.92,72.0,88.0
6,22,3059.98,594.45,35.88000000000011,62.069999999999936
6,8,3535.0,556.07,13.960000000000036,41.819999999999936
6,6,3560.13,507.38,10.599999999999907,29.200000000000045
6,5,3538.56,489.02,12.670000000000073,23.850000000000023
6,13,3528.25,504.34,17.139999999999873,34.51000000000005
6,20,3536.93,554.78,23.289999999999964,39.42000000000007
6,1,3523.44,523.26,17.199999999999818,32.60000000000002
6,19,3284.01,530.82,14.699999999999818,38.29999999999996
6,15,3312.72,513.07,16.5,37.09999999999991
6,12,3337.29,497.46,15.929999999999836,31.59999999999997
6,21,2832.33,589.73,30.340000000000146,58.819999999999936
6,18,2919.97,538.98,23.590000000000146,47.17999999999995
6,14,3125.33,506.5,14.930000000000293,37.52999999999997
6,17,3184.69,495.08,16.799999999999727,32.19999999999999
6,23,3571.65,549.3,6.400000000000091,7.0
7,3,3536.0,616.0,36.0,46.0
7,2,3827.0,523.0,11.0,36.0
7,16,2667.0,513.0,23.0,36.0
7,11,4270.0,537.0,16.0,32.0
7,4,3720.0,502.0,12.0,30.0
7,10,3735.0,666.0,24.0,72.0
7,9,3813.0,583.0,16.0,49.0
7,7,3430.07,797.96,72.0,88.0
7,22,3059.91,594.84,35.88000000000011,62.069999999999936
7,8,3534.72,556.1,14.0300000000002,41.70999999999992
7,6,3560.05,507.52,10.599999999999907,29.200000000000045
7,5,3538.17,489.15,12.779999999999744,23.800000000000068
7,13,3528.71,504.63,17.40000000000009,34.450000000000045
7,20,3538.38,554.43,23.289999999999964,39.41000000000008
7,1,3522.88,523.26,17.199999999999818,32.60000000000002
7,19,3283.13,531.24,14.699999999999818,38.29999999999996
7,15,3312.77,513.18,16.5,37.10000000000002
7,12,3337.44,497.5,15.920000000000073,31.600000000000023
7,21,2832.28,589.99,30.33999999999969,58.819999999999936
7,18,2920.1,539.09,23.590000000000146,47.17999999999995
7,14,3125.41,506.53,14.930000000000293,37.52999999999997
7,17,3184.81,495.08,16.800000000000182,32.19999999999999
7,23,3577.42,549.26,6.400000000000091,7.0
8,3,3528.0,616.0,40.0,45.0
8,2,3827.0,523.0,11.0,36.0
8,16,2667.0,513.0,23.0,37.0
8,11,4270.0,537.0,16.0,32.0
8,4,3717.0,502.0,12.0,30.0
8,10,3732.0,667.0,28.0,70.0
8,9,3811.0,582.0,16.0,51.0
8,7,3425.0,797.0,72.0,88.0
8,22,3059.84,595.22,35.879999999999654,62.069999999999936
8,8,3534.44,556.13,14.099999999999907,41.59000000000003
8,6,3559.97,507.66,10.600000000000364,29.19999999999999
8,5,3537.78,489.29,12.889999999999873,23.739999999999952
8,13,3529.18,504.92,17.65000000000009,34.37999999999994
8,20,3539.84,554.07,23.289999999999964,39.41999999999996
8,1,3522.32,523.26,17.199999999999818,32.60000000000002
8,19,3282.24,531.66,14.700000000000273,38.30000000000007
8,15,3312.81,513.29,16.5,37.10000000000002
8,12,3337.58,497.53,15.920000000000073,31.600000000000023
8,21,2832.24,590.25,30.340000000000146,58.82000000000005
8,18,2920.23,539.2,23.590000000000146,47.17999999999995
8,14,3125.49,506.56,14.930000000000293,37.53000000000003
8,17,3184.93,495.08,16.800000000000182,32.19999999999999
8,23,3583.2,549.23,6.400000000000091,7.0
9,3,3524.0,615.0,44.0,46.0
9,2,3827.0,523.0,11.0,37.0
9,16,2667.0,513.0,23.0,38.0
9,11,4270.0,537.0,16.0,32.0
9,4,3717.0,501.0,12.0,30.0
9,10,3730.0,667.0,32.0,69.0
9,9,3811.0,582.0,16.0,51.0
9,7,3420.0,794.0,68.0,91.0
9,22,3059.77,595.61,35.88000000000011,62.069999999999936
9,8,3534.15,556.16,14.190000000000056,41.48000000000002
9,6,3559.9,507.8,10.599999999999907,29.19999999999999
9,5,3537.39,489.43,13.0,23.680000000000007
9,13,3529.64,505.22,17.91000000000031,34.309999999999945
9,20,3541.29,553.72,23.289999999999964,39.40999999999997
9,1,3521.76,523.26,17.199999999999818,32.60000000000002
9,19,3281.36,532.08,14.699999999999818,38.29999999999996
9,15,3312.86,513.4,16.5,37.10000000000002
9,12,3337.72,497.56,15.930000000000293,31.60999999999996
9,21,2832.19,590.51,30.340000000000146,58.82000000000005
9,18,2920.36,539.31,23.58999999999969,47.180000000000064
9,14,3125.57,506.59,14.929999999999836,37.53000000000003
9,17,3185.06,495.08,16.800000000000182,32.19999999999999
9,23,3588.97,549.19,6.400000000000091,7.0
10,3,3519.0,615.0,36.0,46.0
10,2,3827.0,523.0,11.0,37.0
10,16,2667.0,513.0,23.0,38.0
10,11,4270.0,538.0,16.0,31.0
10,4,3717.0,501.0,12.0,31.0
10,10,3727.0,667.0,32.0,71.0
10,9,3810.0,581.0,16.0,49.0
10,7,3412.0,795.0,68.80000000000018,90.20000000000005
10,22,3059.69,595.99,35.88999999999987,62.08000000000004
10,8,3533.87,556.19,14.260000000000218,41.36999999999989
10,6,3559.82,507.93,10.599999999999907,29.19999999999999
10,5,3537.0,489.56,13.110000000000127,23.619999999999948
10,13,3530.1,505.51,18.170000000000076,34.24000000000001
10,20,3542.75,553.36,23.289999999999964,39.41999999999996
10,1,3521.2,523.26,17.200000000000273,32.60000000000002
10,19,3280.48,532.5,14.699999999999818,38.29999999999996
10,15,3312.91,513.51,16.5,37.10000000000002
10,12,3337.87,497.6,15.920000000000073,31.600000000000023
10,21,2832.14,590.77,30.340000000000146,58.82000000000005
10,18,2920.49,539.42,23.590000000000146,47.180000000000064
10,14,3125.65,506.62,14.929999999999836,37.52999999999997
10,17,3185.18,495.08,16.800000000000182,32.19999999999999
10,23,3594.74,549.16,6.400000000000091,7.0
11,3,3514.0,616.0,40.0,46.0
11,2,3826.0,523.0,11.0,37.0
11,16,2667.0,513.0,23.0,38.0
11,11,4270.0,538.0,16.0,31.0
11,4,3717.0,501.0,12.0,30.0
11,10,3726.0,669.0,36.0,69.0
11,9,3810.0,582.0,16.0,51.0
11,7,3404.0,796.0,69.59999999999991,89.39999999999998
11,22,3059.62,596.38,35.89000000000033,62.07000000000005
11,8,3533.59,556.22,14.329999999999927,41.25
11,6,3559.74,508.07,10.600000000000364,29.19999999999999
11,5,3536.61,489.7,13.2199999999998,23.56
11,13,3530.56,505.8,18.42999999999984,34.18000000000001
11,20,3544.2,553.01,23.289999999999964,39.40999999999997
11,1,3520.65,523.26,17.190000000000055,32.60000000000002
11,19,3279.6,532.93,14.700000000000273,38.30000000000007
11,15,3312.96,513.63,16.5,37.10000000000002
11,12,3338.01,497.63,15.919999999999618,31.600000000000023
11,21,2832.1,591.03,30.340000000000146,58.82000000000005
11,18,2920.62,539.53,23.590000000000146,47.17000000000007
11,14,3125.73,506.65,14.929999999999836,37.52999999999997
11,17,3185.3,495.08,16.799999999999727,32.19999999999999
11,23,3600.52,549.13,6.400000000000091,7.0
12,3,3508.0,615.0,40.0,46.0
12,2,3826.0,523.0,11.0,37.0
12,16,2667.0,513.0,23.0,38.0
12,11,4270.0,538.0,16.0,31.0
12,4,3717.0,501.0,12.0,30.0
12,10,3723.0,671.0,36.0,68.0
12,9,3810.0,582.0,16.0,51.0
12,7,3396.0,797.0,70.40000000000009,88.60000000000002
12,22,3059.55,596.77,35.88999999999987,62.07000000000005
12,8,3533.3,556.25,14.419999999999618,41.13999999999999
12,6,3559.67,508.21,10.599999999999907,29.19999999999999
12,5,3536.22,489.84,13.330000000000382,23.500000000000057
12,13,3531.03,506.1,18.6899999999996,34.10000000000002
12,20,3545.66,552.65,23.289999999999964,39.42000000000007
12,1,3520.09,523.26,17.199999999999818,32.60000000000002
12,19,3278.71,533.35,14.699999999999818,38.29999999999996
12,15,3313.01,513.74,16.5,37.10000000000002
12,12,3338.15,497.67,15.929999999999836,31.59999999999997
12,21,2832.05,591.29,30.33999999999969,58.82000000000005
12,18,2920.75,539.63,23.590000000000146,47.17999999999995
12,14,3125.81,506.68,14.929999999999836,37.53000000000003
12,17,3185.42,495.08,16.799999999999727,32.19999999999999
12,23,3606.29,549.09,6.400000000000091,7.0
13,3,3506.0,615.0,44.0,46.0
13,2,3826.0,523.0,11.0,37.0
13,16,2667.0,512.83,23.0,38.0
13,11,4265.0,538.0,16.0,31.0
13,4,3717.0,502.0,12.0,30.0
13,10,3722.0,672.0,36.0,68.0
13,9,3810.0,582.0,16.0,50.0
13,7,3388.0,798.0,71.19999999999982,87.79999999999995
13,22,3059.48,597.15,35.88999999999987,62.07000000000005
13,8,3533.02,556.27,14.490000000000236,41.02999999999997
13,6,3559.59,508.35,10.599999999999907,29.19999999999993
13,5,3535.84,489.97,13.429999999999836,23.44999999999993
13,13,3531.49,506.39,18.950000000000276,34.039999999999964
13,20,3547.11,552.3,23.289999999999964,39.41000000000008
13,1,3519.53,523.26,17.199999999999818,32.60000000000002
13,19,3277.83,533.77,14.700000000000273,38.30000000000007
13,15,3313.06,513.85,16.5,37.10000000000002
13,12,3338.3,497.7,15.919999999999618,31.59999999999997
13,21,2832.0,591.55,30.340000000000146,58.82000000000005
13,18,2920.88,539.74,23.58999999999969,47.17999999999995
13,14,3125.89,506.71,14.930000000000293,37.53000000000003
13,17,3185.54,495.08,16.800000000000182,32.19999999999999
13,23,3612.07,549.06,6.399999999999636,7.0
14,3,3502.0,615.0,48.0,46.0
14,2,3826.0,523.0,11.0,37.0
14,16,2667.0,512.67,23.0,38.0
14,11,4265.0,538.0,16.0,31.0
14,4,3717.0,502.0,12.0,29.0
14,10,3722.0,672.0,36.0,68.0
14,9,3808.0,583.0,16.0,49.0
14,7,3380.0,799.0,72.0,87.0
14,22,3059.41,597.54,35.89000000000033,62.07000000000005
