,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3
,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,0,0,0,0
,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height
frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3393.41,731.46,41.89000000000030,100.55000000000000,3533.53,541.03,22.790000000000000,49.610000000000000,3602.99,694.11,40.86000000000010,96.59000000000010,4048.3,693.47,43.08999999999970,96.58999999999990,3761.64,612.48,33.440000000000100,63.15000000000000,3894.79,585.87,25.09999999999990,59.85000000000000,3994.02,539.9,30.94999999999980,42.31000000000010,4271.02,612.81,44.92999999999940,72.7600000000001,3779.95,502.35,19.19000000000010,37.77000000000000,3524.35,501.94,17.559999999999900,34.04000000000000,3530.27,698.37,46.809999999999900,103.28000000000000,3789.38,715.3,50.73999999999980,95.44000000000000,3907.32,674.5,46.33999999999970,81.09000000000000,4010.17,599.67,48.13999999999990,74.89000000000000,3637.94,624.71,50.07000000000020,73.18000000000000,3107.13,626.52,62.409999999999900,93.62,3375.29,540.68,27.94999999999980,48.59000000000000,3408.2,511.14,20.43000000000030,36.54000000000000,3736.8,562.93,22.73000000000000,49.07000000000010,2792.28,525.12,26.759999999999800,42.24000000000000,3886.33,731.54,17.65000000000010,16.780000000000100,,,,,,,,
2,3394.13,731.46,41.88999999999990,100.55000000000000,3533.26,540.94,22.790000000000000,49.6099999999999,3603.01,694.0,41.27000000000000,94.98000000000000,4043.76,692.77,43.08999999999970,96.59000000000010,3762.06,612.54,33.42999999999980,63.16000000000010,3894.78,585.87,25.09999999999990,59.85000000000000,3994.43,540.02,30.96000000000000,42.31000000000010,4269.87,612.78,44.93000000000030,72.76000000000000,3780.3,502.42,19.1899999999996,37.77000000000000,3524.3,501.93,17.559999999999900,34.04000000000000,3530.82,699.34,46.809999999999900,103.28000000000000,3788.74,715.48,50.74000000000020,95.43999999999990,3905.81,674.07,46.34000000000020,81.07999999999990,4009.68,599.69,47.82000000000020,74.86999999999990,3636.34,624.37,50.06999999999970,73.18000000000000,3105.57,626.52,62.409999999999900,93.62,3374.69,540.66,27.94999999999980,48.59000000000000,3408.67,511.17,20.42999999999980,36.54000000000000,3736.88,562.84,22.73999999999980,49.069999999999900,2791.35,525.09,26.76000000000020,42.24000000000000,3879.5,735.42,17.65000000000010,16.780000000000100,3895.53,549.74,21.5,45.5,,,,
3,3394.86,731.46,41.88999999999990,100.55000000000000,3532.99,540.85,22.79000000000040,49.60000000000000,3603.03,693.9,41.6899999999996,93.36,4039.22,692.07,43.09000000000020,96.58999999999990,3762.47,612.61,33.43000000000030,63.16000000000000,3894.77,585.87,25.09999999999990,59.85000000000000,3994.84,540.13,30.96000000000000,42.31000000000010,4268.72,612.75,44.92999999999940,72.76000000000000,3780.65,502.49,19.19000000000010,37.77000000000000,3524.25,501.92,17.559999999999900,34.04000000000000,3531.36,700.31,46.809999999999900,103.28000000000000,3788.1,715.66,50.75,95.43000000000010,3904.3,673.63,46.33999999999970,81.09000000000000,4009.2,599.71,47.5,74.84999999999990,3634.74,624.02,50.07000000000020,73.19000000000010,3104.0,626.52,62.42000000000010,93.62,3374.09,540.64,27.94999999999980,48.58000000000000,3409.14,511.21,20.44000000000010,36.53000000000000,3736.97,562.75,22.73000000000000,49.07000000000010,2790.41,525.05,26.76000000000020,42.24000000000000,3872.68,739.31,17.640000000000300,16.780000000000100,3895.96,549.72,21.5,45.51000000000000,,,,
4,3395.58,731.46,41.88999999999990,100.55000000000000,3532.72,540.76,22.800000000000200,49.60000000000000,3603.05,693.79,42.09999999999990,91.76,4034.68,691.37,43.09000000000020,96.59000000000010,3762.88,612.68,33.440000000000100,63.15000000000010,3894.75,585.87,25.09999999999990,59.85000000000000,3995.25,540.25,30.96000000000000,42.309999999999900,4267.57,612.72,44.94000000000050,72.76000000000000,3781.0,502.56,19.19000000000010,37.77000000000000,3524.2,501.91,17.5600000000004,34.04000000000000,3531.9,701.28,46.809999999999900,103.28000000000000,3787.47,715.84,50.74000000000020,95.43000000000000,3902.8,673.2,46.32999999999990,81.08999999999990,4008.71,599.73,47.17999999999980,74.82999999999990,3633.14,623.68,50.07000000000020,73.18000000000010,3102.44,626.52,62.409999999999900,93.62,3373.49,540.61,27.95000000000030,48.59000000000000,3409.62,511.24,20.43000000000030,36.53000000000000,3737.05,562.66,22.73000000000000,49.07000000000010,2789.48,525.02,26.759999999999800,42.24000000000000,3865.85,743.19,17.639999999999900,16.780000000000000,3896.39,549.71,21.5,45.51000000000000,,,,
5,3396.31,731.46,41.88999999999990,100.55000000000000,3532.46,540.67,22.790000000000000,49.60000000000000,3603.07,693.68,42.50999999999980,90.15000000000010,4030.14,690.67,43.09000000000020,96.59000000000010,3763.29,612.74,33.440000000000100,63.16000000000000,3894.74,585.87,25.100000000000400,59.85000000000000,3995.66,540.36,30.96000000000000,42.309999999999900,4266.42,612.69,44.9399999999996,72.76000000000000,3781.35,502.63,19.19000000000010,37.77000000000000,3524.16,501.9,17.550000000000200,34.04000000000010,3532.45,702.25,46.8100000000004,103.28000000000000,3786.83,716.01,50.74000000000020,95.44000000000000,3901.29,672.77,46.32999999999990,81.08000000000000,4008.23,599.75,46.84999999999990,74.81000000000000,3631.53,623.34,50.07999999999990,73.18000000000000,3100.88,626.52,62.409999999999900,93.62,3372.89,540.59,27.94000000000010,48.58999999999990,3410.09,511.27,20.44000000000010,36.53000000000000,3737.13,562.57,22.73999999999980,49.069999999999900,2788.55,524.98,26.759999999999800,42.24000000000000,3859.02,747.08,17.639999999999900,16.780000000000000,3896.81,549.7,21.5,45.5,,,,
6,3397.03,731.46,41.88999999999990,100.55000000000000,3532.19,540.57,22.790000000000000,49.6099999999999,3603.09,693.58,42.92000000000010,88.53000000000000,4025.6,689.97,43.09999999999990,96.58999999999990,3763.71,612.81,33.42999999999980,63.16000000000010,3894.73,585.87,25.09999999999990,59.85000000000000,3996.07,540.48,30.96000000000000,42.309999999999900,4265.27,612.66,44.9399999999996,72.76000000000000,3781.7,502.7,19.19000000000010,37.77000000000000,3524.11,501.89,17.549999999999700,34.040000000000000,3532.99,703.22,46.8100000000004,103.28000000000000,3786.19,716.19,50.75,95.43999999999990,3899.78,672.33,46.32999999999990,81.08999999999990,4007.75,599.77,46.52000000000000,74.79000000000000,3629.93,622.99,50.08000000000040,73.18999999999990,3099.31,626.52,62.42000000000010,93.62,3372.28,540.57,27.94999999999980,48.58999999999990,3410.57,511.3,20.42999999999980,36.53000000000000,3737.21,562.48,22.73999999999980,49.069999999999900,2787.61,524.95,26.759999999999800,42.24000000000000,3852.19,750.96,17.65000000000010,16.790000000000000,3897.24,549.68,21.5,45.510000000000100,4369.34,558.67,19.26000000000020,42.80000000000010
